,100,110,120,132,148,165,180,200,225,250,280,310,350,390,440,490,540,600,670,740,825,910,1000,1100,1200,1320,1480,1650,1800,2000,2250,2500,2800,3100,3500,3900,4400,4900,5400,6000,6700,7400,8250,9100,10000,11000,12000,13200,14800,16500,18000,20000,22500,25000,28000,31000,35000,39000,44000,49000,54000,60000,67000,74000,82500,91000,100000,110000,120000,132000,148000,165000,180000,200000,225000,250000,280000,310000,350000,390000,440000,490000,540000,600000,670000,740000,825000,910000,1000000,1100000,1200000,1320000,1480000,1650000,1800000,2000000,2250000,2500000,2800000,3100000,3500000,3900000,4400000,4900000,5400000,6000000,6700000,7400000,8250000,9100000,10000000,11000000,12000000,13200000,14800000,16500000,18000000,20000000,22500000,25000000,28000000,31000000,35000000,39000000,44000000,49000000,54000000,60000000,67000000,74000000,82500000,91000000
20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-3496685.359,-3497289.734,-3498029.157,-3499038.286,-3500138.367,-3501131.775,-3502487.747,-3504229.98,-3506030.53,-3508226.63,-3510488.046,-3513575.868,-3516729.759,-3520736.943,-3524782.535,-3528832.285,-3533679.197,-3539315.027,-3544929.414,-3551716.413,-3558468.072,-3565576.095,-3573421.86,-3581220.098,-3590476.238,-3602688.083,-3615472.484,-3626577.741,-3641109.447,-3658794.613,-3675899.055,-3695590.702,-3714323.13,-3737731.508,-3759252.049,-3783320.65,-3803842.003,-3820283.676,-3833886.615,-3840688.711,-3840179.421,-3834823.259,-3830245.141,-3833300.162,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-3432413.647,-3432810.162,-3433286.59,-3433923.018,-3434600.945,-3435200.8,-3436003.396,-3437011.741,-3438036.551,-3439254.065,-3440493.605,-3442167.592,-3443869.101,-3446040.038,-3448266.32,-3450554.13,-3453378.006,-3456766.233,-3460237.818,-3464538.826,-3468902.556,-3473554.661,-3478739.029,-3484063.374,-3490836.175,-3501039.985,-3513924.473,-3526887.853,-3545703.717,-3570204.26,-3593875.45,-3618759.952,-3639491.885,-3661438.839,-3677838.632,-3692118.256,-3701189.602,-3706773.935,-3711303.602,-3716686.844,-3722585.734,-3729439.47,-3734794.988,-3737463.882,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-3369332.073,-3369611.577,-3369947.623,-3370396.765,-3370875.316,-3371298.701,-3371864.847,-3372575.118,-3373298.219,-3374147.604,-3375010.907,-3376167.92,-3377331.538,-3378795.036,-3380268.136,-3381750.48,-3383541.718,-3385649.629,-3387778.278,-3390392.775,-3393041.994,-3395887.424,-3399100.576,-3402379.069,-3406364.819,-3411818.338,-3417770.875,-3423153.012,-3430505.284,-3439953.812,-3449657.049,-3461574.19,-3473639.477,-3489641.475,-3505149.594,-3523222.916,-3539529.304,-3553972.863,-3568726.242,-3582263.347,-3592406.375,-3601240.719,-3607536.384,-3612947.316,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
60,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-3306281.363,-3306490.67,-3306742.175,-3307078.076,-3307435.655,-3307751.736,-3308173.984,-3308703.047,-3309243.441,-3309871.583,-3310511.443,-3311367.072,-3312225.302,-3313301.351,-3314380.554,-3315462.447,-3316764.361,-3318289.088,-3319821.069,-3321692.559,-3323578.093,-3325591.889,-3327852.353,-3330145.536,-3332901.543,-3336626.322,-3340619.305,-3344167.739,-3348931.427,-3354930.203,-3360967.714,-3368250.369,-3375569.673,-3385383.672,-3395257.828,-3407662.439,-3419921.032,-3431700.478,-3444742.086,-3457849.07,-3468934.989,-3480405.206,-3490556.889,-3500890.47,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
70,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-3242567.709,-3242726.694,-3242917.813,-3243173.194,-3243445.21,-3243685.783,-3244007.33,-3244410.464,-3244824.858,-3245301.681,-3245790.067,-3246443.441,-3247099.022,-3247921.105,-3248745.491,-3249571.575,-3250564.786,-3251726.128,-3252890.227,-3254307.425,-3255728.557,-3257237.491,-3258919.037,-3260615.541,-3262635.462,-3265351.539,-3268247.892,-3270810.506,-3274233.82,-3278516.487,-3282794.106,-3287911.587,-3293025.668,-3299877.07,-3306813.446,-3315663.679,-3324591.515,-3333359.524,-3343343.567,-3353805.659,-3363139.224,-3373396.598,-3383005.531,-3393101.045,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
80,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-3177550.735,-3177678.309,-3177831.294,-3178035.109,-3178251.468,-3178442.218,-3178696.345,-3179013.704,-3179340.774,-3179710.945,-3180090.85,-3180597.118,-3181103.252,-3181736.028,-3182369.276,-3183003.356,-3183765.576,-3184656.747,-3185550.08,-3186637.905,-3187729.271,-3188888.908,-3190182.476,-3191490.968,-3193044.741,-3195137.393,-3197367.544,-3199337.891,-3201963.29,-3205232.097,-3208473.353,-3212313.471,-3216121.123,-3221206.158,-3226374.307,-3233052.222,-3239869.944,-3246595.828,-3254226.881,-3262096.426,-3269055.49,-3276818.724,-3284472.746,-3293218.792,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
90,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-3110547.415,-3110648.157,-3110769.015,-3110930.108,-3111101.215,-3111252.15,-3111453.345,-3111704.777,-3111966.162,-3112257.8,-3112559.452,-3112961.753,-3113364.263,-3113867.853,-3114372.137,-3114877.303,-3115484.683,-3116194.714,-3116906.026,-3117771.106,-3118637.217,-3119554.88,-3120574.669,-3121604.595,-3122818.93,-3124452.578,-3126190.325,-3127724.339,-3129767.984,-3132314.704,-3134846.114,-3137857.782,-3140856.423,-3144874.249,-3148964.703,-3154247.003,-3159630.793,-3164931.811,-3170932.363,-3177091.935,-3182531.285,-3188625.851,-3194712.412,-3201799.778,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-3041020.883,-3041102.414,-3041200.011,-3041329.755,-3041467.157,-3041588.039,-3041748.744,-3041948.958,-3042158.544,-3042387.393,-3042625.725,-3042943.067,-3043260.372,-3043657.716,-3044056.768,-3044458.448,-3044944.213,-3045515.619,-3046091.466,-3046795.776,-3047504.582,-3048258.734,-3049099.382,-3049950.366,-3050946.031,-3052272.975,-3053654.983,-3054850.01,-3056414.097,-3058333.904,-3060229.731,-3062495.031,-3064769.702,-3067850.734,-3071028.964,-3075194.23,-3079493.589,-3083761.174,-3088615.069,-3093595.742,-3098006.639,-3102997.235,-3108071.534,-3114107.729,-3114107.729,-3114107.729,-3114107.729,-3114107.729,-3114107.729,-3114107.729,-3114107.729,-3114107.729,-3114107.729,-3114107.729,-3114107.729,-3114107.729,-3114107.729,-3114107.729,-3114107.729,-3114107.729,-3114107.729,nan,nan,nan,nan
