,0.001,0.003,0.01,0.03,0.1,0.3,1,3,10,30,100,300
400,6.06E-05,1.82E-04,6.06E-04,1.82E-03,6.06E-03,1.82E-02,6.06E-02,1.82E-01,6.06E-01,1.82E+00,6.06E+00,18.1862
500,4.85E-05,1.45E-04,4.85E-04,1.45E-03,4.85E-03,1.45E-02,4.85E-02,1.45E-01,4.85E-01,1.45E+00,4.85E+00,14.549
600,4.04E-05,1.21E-04,4.04E-04,1.21E-03,4.04E-03,1.21E-02,4.04E-02,1.21E-01,4.04E-01,1.21E+00,4.04E+00,12.1242
700,3.46E-05,1.04E-04,3.46E-04,1.04E-03,3.46E-03,1.04E-02,3.46E-02,1.04E-01,3.46E-01,1.04E+00,3.46E+00,10.3921
800,3.03E-05,9.09E-05,3.03E-04,9.09E-04,3.03E-03,9.09E-03,3.03E-02,9.09E-02,3.03E-01,9.09E-01,3.03E+00,9.09E+00
900,2.69E-05,8.08E-05,2.69E-04,8.08E-04,2.69E-03,8.08E-03,2.69E-02,8.08E-02,2.69E-01,8.08E-01,2.69E+00,8.08E+00
"1,000",2.42E-05,7.27E-05,2.42E-04,7.27E-04,2.42E-03,7.27E-03,2.42E-02,7.27E-02,2.42E-01,7.27E-01,2.42E+00,7.27E+00
"1,100",2.20E-05,6.61E-05,2.20E-04,6.61E-04,2.20E-03,6.61E-03,2.20E-02,6.61E-02,2.20E-01,6.61E-01,2.20E+00,6.61E+00
"1,200",2.02E-05,6.06E-05,2.02E-04,6.06E-04,2.02E-03,6.06E-03,2.02E-02,6.06E-02,2.02E-01,6.06E-01,2.02E+00,6.06E+00
"1,300",1.87E-05,5.60E-05,1.87E-04,5.60E-04,1.87E-03,5.60E-03,1.87E-02,5.60E-02,1.87E-01,5.60E-01,1.87E+00,5.60E+00
"1,400",1.73E-05,5.20E-05,1.73E-04,5.20E-04,1.73E-03,5.20E-03,1.73E-02,5.20E-02,1.73E-01,5.20E-01,1.73E+00,5.20E+00
"1,500",1.62E-05,4.85E-05,1.62E-04,4.85E-04,1.62E-03,4.85E-03,1.62E-02,4.85E-02,1.62E-01,4.85E-01,1.62E+00,4.85E+00
"1,600",1.52E-05,4.55E-05,1.52E-04,4.55E-04,1.52E-03,4.55E-03,1.52E-02,4.55E-02,1.52E-01,4.55E-01,1.52E+00,4.55E+00
"1,700",1.43E-05,4.28E-05,1.43E-04,4.28E-04,1.43E-03,4.28E-03,1.43E-02,4.28E-02,1.43E-01,4.28E-01,1.43E+00,4.28E+00
"1,800",1.35E-05,4.04E-05,1.35E-04,4.04E-04,1.35E-03,4.04E-03,1.35E-02,4.04E-02,1.35E-01,4.04E-01,1.35E+00,4.04E+00
"1,900",1.28E-05,3.83E-05,1.28E-04,3.83E-04,1.28E-03,3.83E-03,1.28E-02,3.83E-02,1.28E-01,3.83E-01,1.28E+00,3.83E+00
"2,000",1.21E-05,3.64E-05,1.21E-04,3.64E-04,1.21E-03,3.64E-03,1.21E-02,3.64E-02,1.21E-01,3.64E-01,1.21E+00,3.64E+00
"2,100",1.15E-05,3.46E-05,1.15E-04,3.46E-04,1.15E-03,3.46E-03,1.15E-02,3.46E-02,1.15E-01,3.46E-01,1.15E+00,3.46E+00
"2,200",1.10E-05,3.31E-05,1.10E-04,3.31E-04,1.10E-03,3.31E-03,1.10E-02,3.31E-02,1.10E-01,3.31E-01,1.10E+00,3.31E+00
"2,300",1.05E-05,3.16E-05,1.05E-04,3.16E-04,1.05E-03,3.16E-03,1.05E-02,3.16E-02,1.05E-01,3.16E-01,1.05E+00,3.16E+00
"2,400",1.01E-05,3.03E-05,1.01E-04,3.03E-04,1.01E-03,3.03E-03,1.01E-02,3.03E-02,1.01E-01,3.03E-01,1.01E+00,3.03E+00
"2,500",9.70E-06,2.91E-05,9.70E-05,2.91E-04,9.70E-04,2.91E-03,9.70E-03,2.91E-02,9.70E-02,2.91E-01,9.70E-01,2.91E+00
"2,600",9.33E-06,2.80E-05,9.33E-05,2.80E-04,9.33E-04,2.80E-03,9.33E-03,2.80E-02,9.33E-02,2.80E-01,9.33E-01,2.80E+00
"2,700",8.98E-06,2.69E-05,8.98E-05,2.69E-04,8.98E-04,2.69E-03,8.98E-03,2.69E-02,8.98E-02,2.69E-01,8.98E-01,2.69E+00
"2,800",8.66E-06,2.60E-05,8.66E-05,2.60E-04,8.66E-04,2.60E-03,8.66E-03,2.60E-02,8.66E-02,2.60E-01,8.66E-01,2.60E+00
"2,900",8.36E-06,2.51E-05,8.36E-05,2.51E-04,8.36E-04,2.51E-03,8.36E-03,2.51E-02,8.36E-02,2.51E-01,8.36E-01,2.51E+00
"3,000",8.08E-06,2.42E-05,8.08E-05,2.42E-04,8.08E-04,2.42E-03,8.08E-03,2.42E-02,8.08E-02,2.42E-01,8.08E-01,2.42E+00
"3,100",7.82E-06,2.35E-05,7.82E-05,2.35E-04,7.82E-04,2.35E-03,7.82E-03,2.35E-02,7.82E-02,2.35E-01,7.82E-01,2.35E+00
"3,200",7.58E-06,2.27E-05,7.58E-05,2.27E-04,7.58E-04,2.27E-03,7.58E-03,2.27E-02,7.58E-02,2.27E-01,7.58E-01,2.27E+00
"3,400",7.13E-06,2.14E-05,7.13E-05,2.14E-04,7.13E-04,2.14E-03,7.13E-03,2.14E-02,7.13E-02,2.14E-01,7.13E-01,2.14E+00
"3,600",6.74E-06,2.02E-05,6.74E-05,2.02E-04,6.74E-04,2.02E-03,6.74E-03,2.02E-02,6.74E-02,2.02E-01,6.74E-01,2.02E+00
"3,800",6.38E-06,1.91E-05,6.38E-05,1.91E-04,6.38E-04,1.91E-03,6.38E-03,1.91E-02,6.38E-02,1.91E-01,6.38E-01,1.91E+00
"4,000",6.06E-06,1.82E-05,6.06E-05,1.82E-04,6.06E-04,1.82E-03,6.06E-03,1.82E-02,6.06E-02,1.82E-01,6.06E-01,1.82E+00
"4,200",5.77E-06,1.73E-05,5.77E-05,1.73E-04,5.77E-04,1.73E-03,5.77E-03,1.73E-02,5.77E-02,1.73E-01,5.77E-01,1.73E+00
"4,400",5.51E-06,1.65E-05,5.51E-05,1.65E-04,5.51E-04,1.65E-03,5.51E-03,1.65E-02,5.51E-02,1.65E-01,5.51E-01,1.65E+00
"4,600",5.27E-06,1.58E-05,5.27E-05,1.58E-04,5.27E-04,1.58E-03,5.27E-03,1.58E-02,5.27E-02,1.58E-01,5.27E-01,1.58E+00
"4,800",5.05E-06,1.52E-05,5.05E-05,1.52E-04,5.05E-04,1.52E-03,5.05E-03,1.52E-02,5.05E-02,1.52E-01,5.05E-01,1.52E+00
"5,000",4.85E-06,1.45E-05,4.85E-05,1.45E-04,4.85E-04,1.45E-03,4.85E-03,1.45E-02,4.85E-02,1.45E-01,4.85E-01,1.45E+00
"5,200",4.66E-06,1.40E-05,4.66E-05,1.40E-04,4.66E-04,1.40E-03,4.66E-03,1.40E-02,4.66E-02,1.40E-01,4.66E-01,1.40E+00
"5,400",4.49E-06,1.35E-05,4.49E-05,1.35E-04,4.49E-04,1.35E-03,4.49E-03,1.35E-02,4.49E-02,1.35E-01,4.49E-01,1.35E+00
