,100,110,120,132,148,165,180,200,225,250,280,310,350,390,440,490,540,600,670,740,825,910,1000,1100,1200,1320,1480,1650,1800,2000,2250,2500,2800,3100,3500,3900,4400,4900,5400,6000,6700,7400,8250,9100,10000,11000,12000,13200,14800,16500,18000,20000,22500,25000,28000,31000,35000,39000,44000,49000,54000,60000,67000,74000,82500,91000,100000,110000,120000,132000,148000,165000,180000,200000,225000,250000,280000,310000,350000,390000,440000,490000,540000,600000,670000,740000,825000,910000,1000000,1100000,1200000,1320000,1480000,1650000,1800000,2000000,2250000,2500000,2800000,3100000,3500000,3900000,4400000,4900000,5400000,6000000,6700000,7400000,8250000,9100000,10000000,11000000,12000000,13200000,14800000,16500000,18000000,20000000,22500000,25000000,28000000,31000000,35000000,39000000,44000000,49000000,54000000,60000000,67000000,74000000,82500000,91000000
20,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06
30,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06
40,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06
50,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06,2.49E-06
60,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06,2.88E-06
70,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06,3.24E-06
80,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06,3.58E-06
90,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06,3.90E-06
100,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06,4.21E-06
